id,admin_user_id,name,address,locality,region,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,fax_numbers,fax_keywords_en,fax_keywords_fr,ramq_code,ramq_billing_categories,type,website,latitude,longitude,added_time,place_type,is_fax_enabled
ChIJ-5mtYnG5yEwRy_34JoPt3uE,,CENTRE D'HEBERGEMENT ARMAND-MARCHAND,"771 RUE PRINCIPALE, SAINT-LIGUORI, QC, J0K 2X0",Saint-Liguori,Lanaudiere,CA,QC,J0K 2X0,+14507537062,,[],[],12955,,hospital,,46.0069959,-73.5690149,1745790598,hospital,0
ChIJ-5nZp3UYyUwRmyIlloGkadA,,OH ! LUNETTES PAR SARDI-NICOPOULOS,"2050 BOUL MARCEL LAURIN, VILLE-ST-LAURENT, QC, H4R 1J9",Montréal,Montreal,CA,QC,H4R 1J9,+15143363663,15143245254,"[{""fax_number"": ""15143245254"", ""keyword_en"": ""enquiries""}]","[{""fax_number"": ""15143245254"", ""keyword_fr"": ""renseignements généraux""}]",53538,,hospital,http://ohlunettes.com/,45.5188446,-73.7028626,1745808471,hospital,0
ChIJ-61iB3bmyEwRLHQrU0aaDdY,,IRIS,"9-211 BOUL BRIEN, REPENTIGNY, QC, J6A 6M4",Repentigny,Lanaudiere,CA,QC,J6A 6M4,+14505823838,"14505820954,15069335988,15067277325","[{""fax_number"": ""14505820954"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""15069335988"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""15067277325"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14505820954"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""15069335988"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""15067277325"", ""keyword_fr"": ""renseignements généraux""}]",53376,,hospital,https://iris.ca/fr/trouver-une-boutique/repentigny-les-galeries-brien,45.7477999,-73.4615661,1745790598,hospital,0
ChIJ-65bKo0dyUwRaxDk-Y9GaF8,,CR EN DEFICIENCE PHYSIQUE DE BOUCHERVILLE,"36 RUE DES SEIGNEURS, BOUCHERVILLE, QC, J4B 5Z8",Boucherville,Monteregie,CA,QC,J4B 5Z8,+1 450-655-5445 ext. 366101,,[],[],19073,,hospital,https://www.santemonteregie.qc.ca/ouest,45.6079973,-73.4549148,1745790598,hospital,0
ChIJ-6uU6fgZyUwRT8rfMW05td8,,DISTRICT MEDICAL,"9735 BOUL ST-LAURENT, MONTREAL, QC, H3L 2N4",Montréal,Montreal,CA,QC,H3L 2N4,+15148323333,15148000775,"[{""fax_number"": ""15148000775"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""15148000775"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""15148000775"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""15148000775"", ""keyword_fr"": ""renseignements généraux""}]",55948,,hospital,http://www.districtmedical.ca/,45.5465396,-73.6577812,1745808471,hospital,0
ChIJ-7K8-lkPyUwR2uJyOtXwqfE,,LUNETTES DEPOT BROSSARD INC.,"109-1155 BOUL DE ROME, BROSSARD, QC, J4W 3J1",Brossard,Monteregie,CA,QC,J4W 3J1,+14509237929,14506810052,"[{""fax_number"": ""14506810052"", ""keyword_en"": ""enquiries""}]","[{""fax_number"": ""14506810052"", ""keyword_fr"": ""dossiers médicaux""}]",53783,,hospital,https://www.lunettes-depot.ca/?fbclid=IwAR00hAiMe6UMLvEaW8_Pl5yL4LNC-aueQeGoDdetMOIb4Cy8jsam3McS5AM,45.4564313,-73.4907731,1745808471,hospital,0
ChIJ-8ZBcoRWuEwRLk6v6XDw9Cg,,MAISON DE LA FAMILLE DE LA NOUVELLE-BEAUCE,"392 AV PROULX, SAINTE-MARIE, QC, G6E 4B1",Sainte-Marie,Chaudiere Appalaches,CA,QC,G6E 4B1,+14183873585,14183873820,"[{""fax_number"": ""14183873820"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14183873820"", ""keyword_fr"": ""renseignements généraux""}]",81425,,pharmacy,https://www.maisonfamillenb.com/,46.4379666,-71.0175491,1745790598,clinic,0
ChIJ-8iw0MoeyUwRp3bFm5aLnrE,,CIUSSS DE L'EST-DE-L'ILE-DE-MONTREAL,"5415 BOUL DE L'ASSOMPTION, MONTREAL, QC, H1T 2M4",Montréal,Montreal,CA,QC,H2A 2Z8,+15147223000,15142510856,"[{""fax_number"": ""15142510856"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""15142510856"", ""keyword_fr"": ""renseignements généraux""}]",94409,,hospital,https://ciusss-estmtl.gouv.qc.ca/,45.55979419999999,-73.6019622,1745808471,hospital,0
ChIJ-9vfhtUZyUwRkzCT7OL7s_U,,ACCES MD,"6500 RTE TRANSCANADIENNE 4E ETAGE, MONTREAL, QC, H9R 0A5",Mont-Royal,Montreal,CA,QC,H4P 1P7,+15147352424,,[],[],55807,,pharmacy,https://www.accesradio.com/,45.49135299999999,-73.66198,1745808471,clinic,0
ChIJ-9waYtI9yUwR_Z3Ggio9CvQ,,SANTE CANNABIS POINTE-CLAIRE,"138A-175 AV STILLVIEW, POINTE-CLAIRE, QC, H9R 4S3",Pointe-Claire,Montreal,CA,QC,H9R 4S3,+18444194131,18447141181,"[{""fax_number"": ""18447141181"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18447141181"", ""keyword_fr"": ""dossiers médicaux""}]",55935,,hospital,http://www.santecannabis.ca/,45.4505033,-73.832702,1745808471,hospital,0
ChIJ-Q6kusIdyUwRXRwjYE3Xyno,,CHSLD JUDITH-JASMIN,"8850 BISAILLON, MONTREAL, QC, H1K 4N2",Montréal,Montreal,CA,QC,H1K 4N2,+15143545990,15143544916,"[{""fax_number"": ""15143544916"", ""keyword_en"": ""general administrative purposes""}]","[{""fax_number"": ""15143544916"", ""keyword_fr"": ""fins administratives générales""}]",16285,,hospital,http://ciusss-estmtl.gouv.qc.ca/,45.6064489,-73.5298196,1745808471,hospital,0
ChIJ-R6JGvY7yUwRgtE9F31knkk,,OPTO V LUNETTERIE ET CLINIQUE,"14945,BOUL DE PIERREFONDS, PIERREFONDS, QC, H9H 4M5",Montréal,Montreal,CA,QC,H9H 4M5,+15146965777,,[],[],53778,,hospital,https://www.optov.ca/?lang=fr,45.48379449999999,-73.8610801,1745856667,hospital,0
ChIJ-REdqIsjyUwRaloQeTaFPmI,,OPTI-CLUB LAVAL,"2999 AUT LAVAL O, LAVAL, QC, H7P 5P4",Laval,Laval,CA,QC,H7P 4K1,+14506867420,,[],[],52404,,pharmacy,https://www.costco.ca/warehouse-locations/laval-QC-505.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,45.5740972,-73.75720439999999,1745790598,clinic,0
ChIJ-RU9BdIbyUwRRfDU_DfWXEw,,CLINIQUE OPTHALMOLOGIQUE BERRI,"1066 RUE BERRI, MONTREAL, QC, H2L 4X2",Montréal,Montreal,CA,QC,H2L 4X2,+15143750987,14383751919,"[{""fax_number"": ""14383751919"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14383751919"", ""keyword_fr"": ""renseignements généraux""}]",53764,,hospital,http://www.cliniqueberri.com/,45.5131674,-73.5568522,1745808471,hospital,0
ChIJ-RgIRovOyUwRywHwW3X_SQg,,CENTRE D'OPTIQUE SEARS,"25 SIMONDS S, GRANBY, QC, J2G 7Z2",Granby,Estrie,CA,QC,J2G 2Y8,+14509153222,"14503750893,14503758119","[{""fax_number"": ""14503750893"", ""keyword_en"": ""head office / general enquiries""}, {""fax_number"": ""14503758119"", ""keyword_en"": ""renseignements g\u00e9n\u00e9raux""}]","[{""fax_number"": ""14503750893"", ""keyword_fr"": ""bureau principal / renseignements g\u00e9n\u00e9raux""}, {""fax_number"": ""14503758119"", ""keyword_fr"": ""dossiers m\u00e9dicaux""}]",52553;53800,,hospital,https://www.opto-reseau.com/cliniques/opto-reseau-granby/,45.411581,-72.7498057,1745790598,hospital,0
ChIJ-RgYuw-zt0wRL5i9JHxEvVk,,SIROIS GAUTHIER ENR.,"35 WELLINGTON N, SHERBROOKE, QC, J1H 5A9",Sherbrooke,Estrie,CA,QC,J1H 5A9,,18195620333,"[{""fax_number"": ""18195620333"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18195620333"", ""keyword_fr"": ""renseignements généraux""}]",52521,,pharmacy,,45.4019842,-71.89085,1745790598,clinic,0
ChIJ-TW4-v1NyEwRi15ETWPG9oE,,CRD DE SAINT-HYACINTHE,"202-2115 BOUL CASAVANT O, SAINT-HYACINTHE, QC, J2S 7E5",Saint-Hyacinthe,Monteregie,CA,QC,J2S 8E3,+14507687999,,[],[],12473,,pharmacy,http://www.agr.gc.ca/,45.6276237,-72.98489889999999,1745790598,clinic,0
ChIJ-UoUuVMZyUwReEUH3DTZkCo,,CLINIQUE DOULEUR M.D.,"402-3232 RUE BELANGER, MONTREAL, QC, H1Y 3H5",Montreal,Montreal,CA,QC,H1Y 1B7,+15143685387,15144165384,"[{""fax_number"": ""15144165384"", ""keyword_en"": ""r\u00e9f\u00e9rences, rendez-vous, dossiers m\u00e9dicaux""}]","[{""fax_number"": ""15144165384"", ""keyword_fr"": ""références, rendez-vous, dossiers médicaux""}]",32026,,hospital,https://douleurmd.com/,45.556686,-73.594117,1745808471,hospital,0
ChIJ-Upf5fdfyUwRFyn69i9fM7I,,CLINIQUE MEDICALE ORMSTOWN,"200-55 RUE ISABELLE, ORMSTOWN, QC, J0S 1K0",Ormstown,Monteregie,CA,QC,J0S 1K0,+14508599185,14508293636,"[{""fax_number"": ""14508293636"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14508293636"", ""keyword_fr"": ""renseignements généraux""}]",55160,,hospital,https://ormstownmedicalclinic.com/,45.1187069,-73.9868139,1745808471,hospital,0
ChIJ-Vqd7ZHdyUwRlIDKJE9Wu68,,CHSLD DE COWANSVILLE,"200 PRINCIPALE, COWANSVILLE, QC, J2K 1J2",Cowansville,Estrie,CA,QC,J2K 4T5,+14502664342,14502635114,"[{""fax_number"": ""14502635114"", ""keyword_en"": ""reception""}]","[{""fax_number"": ""14502635114"", ""keyword_fr"": ""accueil""}]",15405,,hospital,,45.2080844,-72.7427508,1745790598,hospital,0
ChIJ-WJR-WMQyUwRgW7-a4VYPMg,,CLINIQUE IPS (CLSC DE VERDUN),"400 RUE DE L'EGLISE, VERDUN, QC, H4G 2M4",Montréal,Montreal,CA,QC,H4G 2M4,+15147660546,15147624139,"[{""fax_number"": ""15147624139"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""15147624139"", ""keyword_fr"": ""renseignements g\u00e9n\u00e9raux""}]",57041;95072,,hospital,https://ciusss-centresudmtl.gouv.qc.ca/etablissement/clsc-de-verdun,45.46257839999999,-73.56903989999999,1745808471,hospital,0
ChIJ-XJ8k3sxuEwRoQHBwMFXTEU,,MAISON DE SOINS PALLIATIFS - LES COULEURS DU VENT,"1489 RUE MOONEY O, THETFORD MINES, QC, G6G 2J4",Thetford Mines,Chaudiere Appalaches,CA,QC,G6G 8A5,+14187551732,14187553457,"[{""fax_number"": ""14187553457"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14187553457"", ""keyword_fr"": ""renseignements généraux""}]",48910,,hospital,https://www.lescouleursduvent.org/,46.0693728,-71.3135268,1745790598,hospital,0
ChIJ-Y_bSz4ayUwRhtJTqS0-eBg,,BUREAU DR HANS P. BLACK,"3655 RUE REDPATH, MONTREAL, QC, H3G 2W8",Montréal,Montreal,CA,QC,H3G 2G9,,,[],[],55289,,pharmacy,,45.50017,-73.58412,1745808471,clinic,0
ChIJ-Yd-mDkayUwRim8R6h3h0o8,,CENTRE DE SERVICES AMBULATOIRES ALLAN MEMORIAL,"1025 AV DES PINS, MONTREAL, QC, H3A 1A1",Montréal,Montreal,CA,QC,H3A 1A1,+15149341934,"15149344468,15148431643,15148432898,15148431653,15149348262,15148431644",[],[],0892X,"1,8",hospital,https://muhc.ca/mental-health/profile/mental-health,45.506025,-73.5821668,1745808471,hospital,0
ChIJ-YiFNZfZlUwRBXGo56NhnFQ,,PASCALE ROUSSEAU O.D.,"95B SAINT-GERMAIN O, RIMOUSKI, QC, G5L 4B6",Rimouski,Bas Saint Laurent,CA,QC,G5L 4B6,+14187234846,14187234847,"[{""fax_number"": ""14187234847"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14187234847"", ""keyword_fr"": ""renseignements généraux""}]",53301,,hospital,http://www.pascalerousseauopticienne.com/,48.4494891,-68.53232059999999,1745790598,hospital,0
ChIJ-YzILmwZyUwRuRbQ0t6y7yk,,IRIS MONT-ROYAL,"1281 CH CANORA, MONT-ROYAL, QC, H3P 2J4",Mont-Royal,Montreal,CA,QC,H3P 3E9,+15143420404,15143429996,"[{""fax_number"": ""15143429996"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""15143429996"", ""keyword_fr"": ""renseignements généraux""}]",53327,,pharmacy,https://irissetlakwe.com/,45.5281968,-73.6481237,1745808471,clinic,0
ChIJ-Z54C_LD30wRPkPvIuGG0F0,,IRIS CLINIQUE D'OPTOMETRIE,"110A PRINCIPALE S, LEBEL-SUR-QUEVILLON, QC, J0Y 1X0",Lebel-sur-Quévillon,Nord Du Quebec,CA,QC,J0Y 1X0,+18197553300,"18197890901,14185299722,15143276561,14186667893,18197574441,14506890223,14188714622,15146979182,14182415260","[{""fax_number"": ""18197890901"", ""keyword_en"": ""stars""}, {""fax_number"": ""14185299722"", ""keyword_en"": ""stars""}, {""fax_number"": ""15143276561"", ""keyword_en"": ""stars""}, {""fax_number"": ""14186667893"", ""keyword_en"": ""stars""}, {""fax_number"": ""18197574441"", ""keyword_en"": ""stars""}, {""fax_number"": ""14506890223"", ""keyword_en"": ""stars""}, {""fax_number"": ""14188714622"", ""keyword_en"": ""stars""}, {""fax_number"": ""15146979182"", ""keyword_en"": ""stars""}, {""fax_number"": ""14182415260"", ""keyword_en"": ""stars""}]","[{""fax_number"": ""18197890901"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""14185299722"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""15143276561"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""14186667893"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""18197574441"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""14506890223"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""14188714622"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""15146979182"", ""keyword_fr"": ""étoiles doubles""}, {""fax_number"": ""14182415260"", ""keyword_fr"": ""étoiles doubles""}]",53271,,clinic,https://www.moteliris.ca/fr-ca/a-proximite/saq-3496,49.05178340000001,-76.9822887,1745808471,clinic,0
ChIJ-ZJXiRNbmUwRzCntFbjcjS4,,OPTIQUE CHALEUR,"484 DE L'HOTEL DE VILLE CP 443, CHANDLER, QC, G0C 1K0",Chandler,Gaspesie Iles De La Madeleine,CA,QC,G0C 1K0,+14186895553,"14186893722,14186894904,14187525554,14188439102,14188733768","[{""fax_number"": ""14186893722"", ""keyword_en"": ""administration g\u00e9n\u00e9rale""}, {""fax_number"": ""14186894904"", ""keyword_en"": ""clinic communications for eye examination""}, {""fax_number"": ""14187525554"", ""keyword_en"": ""stars""}, {""fax_number"": ""14188439102"", ""keyword_en"": ""stars""}, {""fax_number"": ""14188733768"", ""keyword_en"": ""stars""}]","[{""fax_number"": ""14186893722"", ""keyword_fr"": ""administration g\u00e9n\u00e9rale""}, {""fax_number"": ""14186894904"", ""keyword_fr"": ""clinique d'optom\u00e9trie communications""}, {""fax_number"": ""14187525554"", ""keyword_fr"": ""\u00e9toiles doubles""}, {""fax_number"": ""14188439102"", ""keyword_fr"": ""\u00e9toiles doubles""}, {""fax_number"": ""14188733768"", ""keyword_fr"": ""\u00e9toiles doubles""}]",53075;53359,,hospital,https://www.emerillon.ca/,48.3505349,-64.66765939999999,1745808471,hospital,0
ChIJ-ZYuWV7ct0wRdFeCbNoiOxU,,CHSLD DE RICHMOND,"980 MCGAURAN, RICHMOND, QC, J0B 2H0",Richmond,Estrie,CA,QC,J0B 2H0,+18195422777,18195422777,"[{""fax_number"": ""18195422777"", ""keyword_en"": ""general inquiries / administration""}]","[{""fax_number"": ""18195422777"", ""keyword_fr"": ""renseignements généraux administration""}]",12035,,hospital,http://www.santeestrie.qc.ca/,45.66858669999999,-72.1479492,1745790598,hospital,0
ChIJ-_Eh3ZyFyEwRYYHFODa7XCk,,BOURBONNIERE MICHEL O.D.,"84A ROI, SOREL-TRACY, QC, J3P 4M8",Sorel-Tracy,Monteregie,CA,QC,J3P 4M8,+14507423349,,[],[],53334,,hospital,,46.0432222,-73.11590129999999,1745790598,hospital,0
ChIJ-aA6Ff4iyUwRjPOilqP2M3g,,P. LAVON-NICOPOULOS,"673 BOUL CURE LABELLE, LAVAL, QC, H7V 2T8",Laval,Laval,CA,QC,H7V 2T8,,14506889851,"[{""fax_number"": ""14506889851"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14506889851"", ""keyword_fr"": ""renseignements généraux""}]",52415,,hospital,,45.5378267,-73.74418240000001,1745790598,hospital,0
ChIJ-aTrE4YBzkwRmY5I2EUhYrw,,CLINIQUE MEDICALE DU CARREFOUR SANTE AYLMER,"300-362 CH AYLMER, GATINEAU, QC, J9H 1A6",Gatineau,Outaouais,CA,QC,J9H 1A6,+18196841234,18196841240,"[{""fax_number"": ""18196841240"", ""keyword_en"": ""primary general fax line""}, {""fax_number"": ""18196841240"", ""keyword_en"": ""primary general fax line""}]","[{""fax_number"": ""18196841240"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18196841240"", ""keyword_fr"": ""renseignements généraux""}]",54233,,hospital,https://www.cmcsa.ca/,45.3960746,-75.8235212,1745808471,hospital,0
ChIJ-abCUd47vkwRlOof2SNT5kI,,CLINIQUE MEDICALE DE CACOUNA,"535 RUE DU PATRIMOINE, CACOUNA, QC, G0L 1G0",Cacouna,Bas Saint Laurent,CA,QC,G0L 1G0,+14188622170,14188622506,"[{""fax_number"": ""14188622506"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14188622506"", ""keyword_fr"": ""renseignements généraux administratifs""}]",54134,,hospital,https://www.bonjour-sante.ca/Repertoire/M%C3%A9decins%20de%20famille/Cacouna/,47.909274,-69.50865879999999,1745790598,hospital,0
ChIJ-bBntAxryUwRbRI8wTeZoXI,,OPTOMETRIE BARRETTE L'ERIGER,"773 BOUL SAINT-JEAN-BAPTISTE, MERCIER, QC, J6R 1G1",Mercier,Monteregie,CA,QC,J6R 1G1,+14506993251,14506991379,"[{""fax_number"": ""14506991379"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14506991379"", ""keyword_fr"": ""dossiers médicaux""}]",52668,,hospital,https://www.opto-reseau.com/cliniques/opto-reseau-mercier/,45.3157205,-73.7426404,1745790598,hospital,0
